County,FIPS code,CBSA,State Abbreviation,FEMA region,Population,Cases as a percent of national total - last 7 days,ThisWeekTotal Per100k,LastWeekTotal Per100k,Test Positivity Rate- Last 7 Days,Previous Week Positivity Rate,,,,,,
"Frio County, TX",,,,," 20,306 ",0.0%, 192 , 227 ,23.6%,14.3%,,,,,,
"Frontier County, NE",,,,," 2,627 ",0.0%, 647 , 990 ,31.0%,25.4%,,,,,,
"Fulton County, AR",,,,," 12,477 ",0.0%, 409 , 441 ,15.9%,20.0%,,,,,,
"Fulton County, IL",,,,," 34,340 ",0.0%, 646 , 609 ,8.9%,9.0%,,,,,,
"Fulton County, IN",,,,," 19,974 ",0.0%, 516 , 681 ,21.9%,21.8%,,,,,,
"Fulton County, KY",,,,," 5,969 ",0.0%, 302 , 168 ,6.9%,12.5%,,,,,,
"Fulton County, OH",,,,," 42,126 ",0.0%, 582 , 420 ,14.8%,17.9%,,,,,,
"Fulton County, PA",,,,," 14,530 ",0.0%, 399 , 351 ,10.4%,22.1%,,,,,,
"Furnas County, NE",,,,," 4,676 ",0.0%, 791 , 727 ,35.2%,39.3%,,,,,,
"Gage County, NE",,,,," 21,513 ",0.0%, 628 , 967 ,25.9%,33.5%,,,,,,
"Gaines County, TX",,,,," 21,492 ",0.0%, 307 , 698 ,26.7%,15.8%,,,,,,
"Galax City, VA",,,,," 6,347 ",0.0%, 693 , 347 ,14.0%,15.6%,,,,,,
"Gallatin County, IL",,,,," 4,828 ",0.0%, 331 , 435 ,9.7%,15.3%,,,,,,
"Gallatin County, KY",,,,," 8,869 ",0.0%, 496 , 259 ,10.8%,16.8%,,,,,,
"Gallatin County, MT",,,,," 114,434 ",0.1%, 540 ," 1,101 ",24.1%,35.3%,,,,,,
"Gallia County, OH",,,,," 29,898 ",0.0%, 505 , 388 ,24.4%,15.5%,,,,,,
"Garden County, NE",,,,," 1,837 ",0.0%, 327 , 435 ,33.3%,30.0%,,,,,,
"Garfield County, CO",,,,," 60,061 ",0.0%, 511 , 435 ,14.0%,12.7%,,,,,,
"Garfield County, MT",,,,," 1,258 ",0.0%, 397 ," 1,908 ",36.7%,71.4%,,,,,,
"Garfield County, NE",,,,," 1,969 ",0.0%, 762 ," 1,371 ",22.0%,58.5%,,,,,,
"Garfield County, OK",,,,," 61,056 ",0.1%, 956 , 464 ,23.8%,25.4%,,,,,,
"Garfield County, UT",,,,," 5,051 ",0.0%, 277 , 950 ,20.7%,34.9%,,,,,,
"Garfield County, WA",,,,," 2,225 ",0.0%, 45 , 360 ,0.0%,42.9%,,,,,,
"Garland County, AR",,,,," 99,386 ",0.0%, 322 , 255 ,11.8%,7.7%,,,,,,
"Garrard County, KY",,,,," 17,666 ",0.0%, 509 , 328 ,16.4%,14.0%,,,,,,
"Garrett County, MD",,,,," 29,014 ",0.0%, 796 , 541 ,12.0%,12.3%,,,,,,
"Garvin County, OK",,,,," 27,711 ",0.0%, 700 , 938 ,13.4%,15.2%,,,,,,
"Garza County, TX",,,,," 6,229 ",0.0%, 32 , 112 ,15.0%,20.0%,,,,,,
"Gasconade County, MO",,,,," 14,706 ",0.0%, 408 , 279 ,10.9%,11.7%,,,,,,
"Gaston County, NC",,,,," 224,529 ",0.1%, 308 , 289 ,10.0%,10.6%,,,,,,
"Gates County, NC",,,,," 11,562 ",0.0%, 156 , 61 ,14.7%,10.6%,,,,,,
"Geary County, KS",,,,," 31,670 ",0.0%, 597 , 224 ,18.9%,14.7%,,,,,,
"Geauga County, OH",,,,," 93,649 ",0.0%, 538 , 376 ,10.9%,9.8%,,,,,,
"Gem County, ID",,,,," 18,112 ",0.0%," 1,154 ", 751 ,27.3%,29.3%,,,,,,
"Genesee County, MI",,,,," 405,813 ",0.2%, 548 , 536 ,14.3%,14.6%,,,,,,
"Genesee County, NY",,,,," 57,280 ",0.0%, 403 , 223 ,8.4%,5.7%,,,,,,
"Geneva County, AL",,,,," 26,271 ",0.0%, 179 , 110 ,11.6%,8.4%,,,,,,
"Gentry County, MO",,,,," 6,571 ",0.0%, 548 , 959 ,25.6%,29.7%,,,,,,
"George County, MS",,,,," 24,500 ",0.0%, 184 , 229 ,5.1%,24.2%,,,,,,
"Gibson County, IN",,,,," 33,659 ",0.0%, 868 , 876 ,19.5%,17.8%,,,,,,
"Gibson County, TN",,,,," 49,133 ",0.0%, 639 , 627 ,23.2%,14.4%,,,,,,
"Gila County, AZ",,,,," 54,018 ",0.0%, 557 , 354 ,7.7%,13.1%,,,,,,
"Giles County, TN",,,,," 29,464 ",0.0%, 479 , 424 ,17.0%,16.7%,,,,,,
"Giles County, VA",,,,," 16,720 ",0.0%, 305 , 185 ,5.2%,13.9%,,,,,,
"Gillespie County, TX",,,,," 26,988 ",0.0%, 463 , 89 ,12.3%,13.0%,,,,,,
"Gilmer County, GA",,,,," 31,369 ",0.0%, 159 , 159 ,12.7%,9.3%,,,,,,
"Glacier County, MT",,,,," 13,753 ",0.0%, 225 , 233 ,9.8%,14.1%,,,,,,
"Gladwin County, MI",,,,," 25,449 ",0.0%, 617 , 786 ,9.9%,5.5%,,,,,,
"Glascock County, GA",,,,," 2,971 ",0.0%, -   , 168 ,0.0%,31.2%,,,,,,
"Glasscock County, TX",,,,," 1,409 ",0.0%, 781 , 852 ,,,,,,,,
"Gloucester County, NJ",,,,," 291,636 ",0.1%, 280 , 334 ,10.7%,10.1%,,,,,,
"Gogebic County, MI",,,,," 13,975 ",0.0%, 487 , 615 ,14.9%,15.9%,,,,,,
"Golden Valley County, MT",,,,, 821 ,0.0%, -   , 365 ,0.0%,15.4%,,,,,,
"Golden Valley County, ND",,,,," 1,761 ",0.0%, 568 , 681 ,15.9%,9.1%,,,,,,
"Goliad County, TX",,,,," 7,658 ",0.0%, 26 , 78 ,21.4%,3.2%,,,,,,
"Gonzales County, TX",,,,," 20,837 ",0.0%, 178 , 245 ,15.4%,9.2%,,,,,,
"Goodhue County, MN",,,,," 46,340 ",0.0%, 630 ," 1,036 ",11.4%,11.9%,,,,,,
"Gooding County, ID",,,,," 15,179 ",0.0%, 329 , 428 ,21.9%,22.2%,,,,,,
"Gordon County, GA",,,,," 57,963 ",0.0%, 240 , 331 ,13.5%,12.6%,,,,,,
"Goshen County, WY",,,,," 13,211 ",0.0%," 1,188 "," 1,188 ",36.7%,42.9%,,,,,,
"Gosper County, NE",,,,," 1,990 ",0.0%, 201 , 503 ,12.0%,32.3%,,,,,,
"Gove County, KS",,,,," 2,636 ",0.0%, 948 , 531 ,52.6%,26.7%,,,,,,
"Grady County, GA",,,,," 24,633 ",0.0%, 77 , 24 ,11.9%,6.0%,,,,,,
"Grady County, OK",,,,," 55,834 ",0.0%, 604 , 519 ,22.2%,17.1%,,,,,,
"Graham County, AZ",,,,," 38,837 ",0.0%, 734 , 546 ,23.8%,28.4%,,,,,,
"Graham County, KS",,,,," 2,482 ",0.0%," 1,209 "," 1,330 ",40.0%,17.6%,,,,,,
"Grainger County, TN",,,,," 23,320 ",0.0%, 579 , 326 ,15.8%,16.3%,,,,,,
"Grand County, CO",,,,," 15,734 ",0.0%, 775 , 350 ,19.6%,17.8%,,,,,,
"Grand County, UT",,,,," 9,754 ",0.0%, 195 , 451 ,8.0%,2.8%,,,,,,
"Grand Forks County, ND",,,,," 69,451 ",0.0%, 644 ," 1,565 ",17.3%,12.8%,,,,,,
"Grand Traverse County, MI",,,,," 93,088 ",0.0%, 353 , 324 ,10.8%,8.5%,,,,,,
"Granite County, MT",,,,," 3,379 ",0.0%, 207 , 621 ,22.2%,36.7%,,,,,,
"Grant County, AR",,,,," 18,265 ",0.0%, 350 , 334 ,10.1%,14.0%,,,,,,
"Grant County, IN",,,,," 65,769 ",0.0%, 655 , 648 ,16.0%,14.5%,,,,,,
"Grant County, KS",,,,," 7,150 ",0.0%," 1,035 "," 1,007 ",34.7%,41.1%,,,,,,
"Grant County, KY",,,,," 25,069 ",0.0%, 363 , 383 ,16.2%,13.0%,,,,,,
"Grant County, MN",,,,," 5,972 ",0.0%, 954 , 770 ,12.3%,15.6%,,,,,,
"Grant County, ND",,,,," 2,274 ",0.0%, 352 , 923 ,7.3%,9.7%,,,,,,
"Grant County, NE",,,,, 623 ,0.0%, 482 ," 1,284 ",11.1%,0.0%,,,,,,
"Grant County, OK",,,,," 4,333 ",0.0%, 508 , 669 ,22.5%,17.1%,,,,,,
"Grant County, SD",,,,," 7,052 ",0.0%," 1,007 "," 1,163 ",32.6%,26.5%,,,,,,
"Grant County, WA",,,,," 97,733 ",0.0%, 514 , 452 ,13.0%,17.4%,,,,,,
"Grant County, WI",,,,," 51,439 ",0.0%, 593 , 902 ,11.0%,14.6%,,,,,,
"Grant County, WV",,,,," 11,568 ",0.0%, 536 , 259 ,9.3%,6.6%,,,,,,
"Grant Parish, LA",,,,," 22,389 ",0.0%, 666 , 402 ,8.3%,7.1%,,,,,,
"Gratiot County, MI",,,,," 40,711 ",0.0%, 548 , 779 ,11.0%,18.6%,,,,,,
"Graves County, KY",,,,," 37,266 ",0.0%, 636 , 596 ,21.9%,26.7%,,,,,,
"Gray County, KS",,,,," 5,988 ",0.0%, 251 ," 1,369 ",38.5%,12.1%,,,,,,
"Gray County, TX",,,,," 21,886 ",0.0%, 416 , 388 ,28.7%,36.4%,,,,,,
"Grayson County, KY",,,,," 26,427 ",0.0%, 337 , 344 ,18.3%,16.9%,,,,,,
"Grayson County, TX",,,,," 136,212 ",0.0%, 271 , 382 ,10.5%,13.0%,,,,,,
"Grayson County, VA",,,,," 15,550 ",0.0%, 257 , 199 ,4.9%,11.7%,,,,,,
"Greeley County, KS",,,,," 1,232 ",0.0%, 162 ," 1,380 ",2.6%,7.7%,,,,,,
"Greeley County, NE",,,,," 2,356 ",0.0%, 467 ," 1,061 ",25.0%,53.0%,,,,,,
"Green County, KY",,,,," 10,941 ",0.0%, 265 , 484 ,30.8%,7.9%,,,,,,
"Green County, WI",,,,," 36,960 ",0.0%, 368 , 490 ,10.7%,15.3%,,,,,,
"Green Lake County, WI",,,,," 18,913 ",0.0%, 486 , 798 ,7.3%,13.2%,,,,,,
"Greene County, AL",,,,," 8,111 ",0.0%, 173 , 259 ,20.7%,11.9%,,,,,,
"Greene County, AR",,,,," 45,325 ",0.0%, 792 , 688 ,14.7%,13.7%,,,,,,
"Greene County, IA",,,,," 8,888 ",0.0%, 495 ," 1,058 ",14.8%,20.4%,,,,,,
"Greene County, IL",,,,," 12,969 ",0.0%, 694 , 987 ,11.8%,18.0%,,,,,,
"Greene County, IN",,,,," 31,922 ",0.0%, 442 , 439 ,16.2%,18.7%,,,,,,
"Greene County, MO",,,,," 293,086 ",0.1%, 345 , 400 ,13.7%,18.5%,,,,,,
"Greene County, MS",,,,," 13,586 ",0.0%, 162 , 280 ,34.7%,8.6%,,,,,,
"Greene County, OH",,,,," 168,937 ",0.1%, 512 , 494 ,20.7%,19.5%,,,,,,
"Greene County, PA",,,,," 36,233 ",0.0%, 420 , 373 ,11.9%,13.5%,,,,,,
"Greene County, TN",,,,," 69,069 ",0.0%, 494 , 479 ,19.2%,23.0%,,,,,,
"Greenlee County, AZ",,,,," 9,498 ",0.0%, 495 , 232 ,8.5%,6.2%,,,,,,
"Greenup County, KY",,,,," 35,098 ",0.0%, 789 , 419 ,19.8%,11.6%,,,,,,
"Greenville County, SC",,,,," 523,542 ",0.1%, 276 , 309 ,11.1%,15.5%,,,,,,
"Greenwood County, KS",,,,," 5,982 ",0.0%, 435 , 267 ,20.5%,14.3%,,,,,,
"Greer County, OK",,,,," 5,712 ",0.0%, 788 , 525 ,35.8%,21.3%,,,,,,
"Gregg County, TX",,,,," 123,945 ",0.0%, 87 , 205 ,18.2%,15.2%,,,,,,
"Gregory County, SD",,,,," 4,185 ",0.0%, 789 ," 1,219 ",44.2%,37.5%,,,,,,
"Grenada County, MS",,,,," 20,758 ",0.0%, 265 , 178 ,13.8%,10.3%,,,,,,
"Griggs County, ND",,,,," 2,231 ",0.0%," 1,972 "," 1,569 ",21.8%,12.9%,,,,,,
"Grimes County, TX",,,,," 28,880 ",0.0%, 177 , 93 ,9.3%,14.4%,,,,,,
"Grundy County, IA",,,,," 12,232 ",0.0%, 768 ," 1,300 ",26.4%,35.4%,,,,,,
"Grundy County, IL",,,,," 51,054 ",0.0%, 689 , 975 ,22.5%,27.0%,,,,,,
"Grundy County, MO",,,,," 9,850 ",0.0%, 325 , 863 ,18.4%,34.0%,,,,,,
"Grundy County, TN",,,,," 13,427 ",0.0%, 372 , 425 ,11.3%,7.1%,,,,,,
"Guadalupe County, NM",,,,," 4,300 ",0.0%, 651 , 581 ,9.4%,18.0%,,,,,,
"Guadalupe County, TX",,,,," 166,847 ",0.0%, 22 , 82 ,11.0%,8.2%,,,,,,
"Guayama, PR",,,,," 45,362 ",0.0%, 104 , 86 ,10.1%,15.9%,,,,,,
"Guernsey County, OH",,,,," 38,875 ",0.0%, 548 , 280 ,21.9%,15.5%,,,,,,
"Gulf County, FL",,,,," 13,639 ",0.0%, 125 , 198 ,5.3%,13.8%,,,,,,
"Gunnison County, CO",,,,," 17,462 ",0.0%, 160 , 304 ,5.8%,12.1%,,,,,,
"Gurabo, PR",,,,," 45,369 ",0.0%, 121 , 159 ,0.0%,18.3%,,,,,,
"Guthrie County, IA",,,,," 10,689 ",0.0%, 627 , 926 ,15.8%,23.3%,,,,,,
"Haakon County, SD",,,,," 1,899 ",0.0%, 474 , 737 ,7.1%,4.1%,,,,,,
"Habersham County, GA",,,,," 45,328 ",0.0%, 298 , 238 ,21.9%,23.6%,,,,,,
"Hale County, AL",,,,," 14,651 ",0.0%, 259 , 191 ,13.1%,10.7%,,,,,,
"Hale County, TX",,,,," 33,406 ",0.0%, 928 ," 1,147 ",22.6%,39.2%,,,,,,
"Halifax County, NC",,,,," 50,010 ",0.0%, 276 , 296 ,10.3%,11.8%,,,,,,
"Halifax County, VA",,,,," 33,911 ",0.0%, 100 , 318 ,6.4%,20.3%,,,,,,
"Hall County, GA",,,,," 204,441 ",0.0%, 221 , 189 ,13.3%,9.0%,,,,,,
"Hall County, NE",,,,," 61,353 ",0.0%, 735 , 856 ,23.0%,31.2%,,,,,,
"Hall County, TX",,,,," 2,964 ",0.0%, 135 , 371 ,47.1%,46.6%,,,,,,
"Hamblen County, TN",,,,," 64,934 ",0.0%, 371 , 451 ,14.6%,17.8%,,,,,,
"Hamilton County, IA",,,,," 14,773 ",0.0%, 975 ," 1,388 ",26.0%,26.8%,,,,,,
"Hamilton County, IL",,,,," 8,116 ",0.0%, 419 ," 1,072 ",18.6%,35.4%,,,,,,
"Hamilton County, IN",,,,," 338,011 ",0.2%, 574 , 567 ,12.6%,13.1%,,,,,,
"Hamilton County, KS",,,,," 2,539 ",0.0%, 788 ," 1,378 ",51.7%,65.6%,,,,,,
"Hamilton County, NE",,,,," 9,324 ",0.0%, 708 , 997 ,22.5%,34.4%,,,,,,
"Hamilton County, OH",,,,," 817,473 ",0.3%, 462 , 480 ,14.2%,14.9%,,,,,,
"Hamilton County, TN",,,,," 367,804 ",0.1%, 311 , 367 ,14.6%,12.5%,,,,,,
"Hamlin County, SD",,,,," 6,164 ",0.0%, 795 ," 1,411 ",16.7%,18.0%,,,,,,
"Hampton County, SC",,,,," 19,222 ",0.0%, 68 , 120 ,3.9%,13.8%,,,,,,
"Hancock County, GA",,,,," 8,457 ",0.0%, 272 , 177 ,12.5%,10.6%,,,,,,
"Hancock County, IA",,,,," 10,630 ",0.0%, 734 ," 1,223 ",16.1%,21.7%,,,,,,
"Hancock County, IL",,,,," 17,708 ",0.0%, 446 ," 1,112 ",18.3%,31.3%,,,,,,
"Hancock County, IN",,,,," 78,168 ",0.0%, 569 , 541 ,12.3%,15.8%,,,,,,
"Hancock County, KY",,,,," 8,722 ",0.0%, 264 , 527 ,25.0%,28.0%,,,,,,
"Hancock County, OH",,,,," 75,783 ",0.0%, 542 , 457 ,25.5%,21.8%,,,,,,
"Hancock County, TN",,,,," 6,620 ",0.0%, 408 , 121 ,6.7%,0.0%,,,,,,
"Hancock County, WV",,,,," 28,810 ",0.0%, 587 , 437 ,7.7%,7.9%,,,,,,
"Hand County, SD",,,,," 3,191 ",0.0%, 533 ," 1,410 ",26.3%,41.7%,,,,,,
"Hansford County, TX",,,,," 5,399 ",0.0%, 185 , 93 ,25.0%,63.6%,,,,,,
"Hanson County, SD",,,,," 3,453 ",0.0%," 1,448 "," 1,100 ",59.6%,40.4%,,,,,,
"Haralson County, GA",,,,," 29,792 ",0.0%, 134 , 191 ,21.3%,25.7%,,,,,,
"Hardee County, FL",,,,," 26,937 ",0.0%, 119 , 145 ,9.6%,12.1%,,,,,,
"Hardeman County, TN",,,,," 25,050 ",0.0%, 255 , 299 ,10.8%,15.7%,,,,,,
"Hardeman County, TX",,,,," 3,933 ",0.0%, 280 , 76 ,22.2%,29.2%,,,,,,
"Hardin County, IA",,,,," 16,846 ",0.0%, 695 ," 1,098 ",26.1%,28.4%,,,,,,
"Hardin County, IL",,,,," 3,821 ",0.0%, 968 , 654 ,15.0%,15.2%,,,,,,
"Hardin County, KY",,,,," 110,958 ",0.0%, 333 , 510 ,21.7%,12.1%,,,,,,
"Hardin County, OH",,,,," 31,365 ",0.0%, 902 , 526 ,20.4%,21.9%,,,,,,
"Hardin County, TN",,,,," 25,652 ",0.0%, 335 , 382 ,7.2%,18.8%,,,,,,
"Hardin County, TX",,,,," 57,602 ",0.0%, -   , 217 ,12.5%,13.3%,,,,,,
"Harding County, NM",,,,, 625 ,0.0%, 320 , 480 ,28.6%,50.0%,,,,,,
"Harding County, SD",,,,," 1,298 ",0.0%, 616 , 231 ,42.9%,12.5%,,,,,,
"Hardy County, WV",,,,," 13,776 ",0.0%, 479 , 247 ,8.0%,9.5%,,,,,,
"Harford County, MD",,,,," 255,441 ",0.1%, 233 , 269 ,7.2%,10.4%,,,,,,
"Harlan County, KY",,,,," 26,010 ",0.0%, 285 , 154 ,17.1%,9.2%,,,,,,
"Harlan County, NE",,,,," 3,380 ",0.0%, 621 , 740 ,28.3%,38.1%,,,,,,
"Harmon County, OK",,,,," 2,653 ",0.0%, 415 , 151 ,8.3%,0.0%,,,,,,
"Harper County, KS",,,,," 5,436 ",0.0%, 699 ," 1,104 ",29.2%,21.1%,,,,,,
"Harper County, OK",,,,," 3,688 ",0.0%," 1,844 ", 624 ,64.3%,13.5%,,,,,,
"Harrison County, IA",,,,," 14,049 ",0.0%, 505 , 641 ,24.9%,25.9%,,,,,,
"Harrison County, IN",,,,," 40,515 ",0.0%, 474 , 501 ,13.5%,15.7%,,,,,,
"Harrison County, KY",,,,," 18,886 ",0.0%, 302 , 254 ,3.4%,10.9%,,,,,,
"Harrison County, MO",,,,," 8,352 ",0.0%, 431 ," 1,042 ",20.4%,33.9%,,,,,,
"Harrison County, MS",,,,," 208,080 ",0.0%, 170 , 147 ,8.8%,11.5%,,,,,,
"Harrison County, OH",,,,," 15,040 ",0.0%, 525 , 219 ,26.8%,15.0%,,,,,,
"Harrison County, TX",,,,," 66,553 ",0.0%, 24 , 39 ,11.3%,14.8%,,,,,,
"Harrison County, WV",,,,," 67,256 ",0.0%, 398 , 161 ,7.7%,4.5%,,,,,,
"Hart County, GA",,,,," 26,205 ",0.0%, 137 , 122 ,19.6%,11.2%,,,,,,
"Hart County, KY",,,,," 19,035 ",0.0%, 384 , 268 ,15.5%,6.1%,,,,,,
"Hartley County, TX",,,,," 5,576 ",0.0%, 72 , 72 ,25.0%,33.3%,,,,,,
"Harvey County, KS",,,,," 34,429 ",0.0%, 706 , 973 ,17.6%,15.5%,,,,,,
"Haskell County, KS",,,,," 3,968 ",0.0%, 680 , 680 ,25.0%,12.5%,,,,,,
"Haskell County, OK",,,,," 12,627 ",0.0%, 341 , 570 ,21.4%,22.9%,,,,,,
"Haskell County, TX",,,,," 5,658 ",0.0%, 18 , 53 ,0.0%,20.0%,,,,,,
"Hawkins County, TN",,,,," 56,786 ",0.0%, 352 , 350 ,12.6%,15.6%,,,,,,
"Hayes County, NE",,,,, 922 ,0.0%, 542 , 651 ,18.2%,7.1%,,,,,,
"Haywood County, NC",,,,," 62,317 ",0.0%, 279 , 119 ,10.4%,7.6%,,,,,,
"Haywood County, TN",,,,," 17,304 ",0.0%, 306 , 537 ,11.7%,23.6%,,,,,,
"Heard County, GA",,,,," 11,923 ",0.0%, 101 , 109 ,14.3%,28.3%,,,,,,
"Hemphill County, TX",,,,," 3,819 ",0.0%, 367 , 340 ,6.9%,33.3%,,,,,,
"Henderson County, IL",,,,," 6,646 ",0.0%, 572 , 692 ,14.8%,20.8%,,,,,,
"Henderson County, KY",,,,," 45,210 ",0.0%, 316 , 365 ,31.0%,14.1%,,,,,,
"Henderson County, TN",,,,," 28,117 ",0.0%, 331 , 445 ,13.5%,11.8%,,,,,,
"Henderson County, TX",,,,," 82,737 ",0.0%, 100 , 189 ,15.8%,17.9%,,,,,,
"Hendricks County, IN",,,,," 170,311 ",0.1%, 574 , 493 ,20.7%,18.5%,,,,,,
"Hendry County, FL",,,,," 42,022 ",0.0%, 145 , 193 ,10.1%,14.1%,,,,,,
"Hennepin County, MN",,,,," 1,265,843 ",0.7%, 579 , 641 ,9.3%,13.4%,,,,,,
"Henry County, AL",,,,," 17,205 ",0.0%, 139 , 93 ,11.2%,9.4%,,,,,,
"Henry County, GA",,,,," 234,561 ",0.0%, 164 , 131 ,12.4%,10.6%,,,,,,
"Henry County, IA",,,,," 19,954 ",0.0%, 792 , 827 ,18.4%,19.0%,,,,,,
"Henry County, IL",,,,," 48,913 ",0.0%, 789 ," 1,018 ",17.1%,15.4%,,,,,,
"Henry County, IN",,,,," 47,972 ",0.0%, 605 , 621 ,15.1%,15.6%,,,,,,
"Henry County, KY",,,,," 16,126 ",0.0%, 273 , 304 ,16.3%,10.9%,,,,,,
"Henry County, MO",,,,," 21,824 ",0.0%, 477 ," 1,068 ",21.6%,31.2%,,,,,,
"Henry County, OH",,,,," 27,006 ",0.0%, 544 , 441 ,17.9%,18.8%,,,,,,
"Henry County, TN",,,,," 32,345 ",0.0%, 470 , 652 ,15.9%,12.6%,,,,,,
"Henry County, VA",,,,," 50,557 ",0.0%, 330 , 208 ,7.7%,19.4%,,,,,,
"Hernando County, FL",,,,," 193,920 ",0.0%, 190 , 123 ,13.7%,11.2%,,,,,,
"Hertford County, NC",,,,," 23,677 ",0.0%, 190 , 131 ,10.0%,10.4%,,,,,,
"Hettinger County, ND",,,,," 2,499 ",0.0%," 1,160 "," 1,401 ",6.4%,6.9%,,,,,,
"Hickman County, KY",,,,," 4,380 ",0.0%, 297 , 228 ,13.0%,17.4%,,,,,,
"Hickman County, TN",,,,," 25,178 ",0.0%, 369 , 433 ,16.3%,13.4%,,,,,,
"Hickory County, MO",,,,," 9,544 ",0.0%, 231 , 335 ,8.9%,22.4%,,,,,,
"Hidalgo County, NM",,,,," 4,198 ",0.0%, 596 , 286 ,12.2%,11.7%,,,,,,
"Hidalgo County, TX",,,,," 868,707 ",0.2%, 318 , 170 ,13.4%,12.3%,,,,,,
"Highland County, OH",,,,," 43,161 ",0.0%, 368 , 317 ,18.6%,13.6%,,,,,,
"Highlands County, FL",,,,," 106,221 ",0.0%, 220 , 271 ,12.0%,12.1%,,,,,,
"Hill County, MT",,,,," 16,484 ",0.0%, 534 , 698 ,16.6%,34.9%,,,,,,
"Hill County, TX",,,,," 36,649 ",0.0%, 226 , 104 ,15.0%,17.9%,,,,,,
"Hillsdale County, MI",,,,," 45,605 ",0.0%, 647 , 717 ,21.5%,24.9%,,,,,,
"Hinds County, MS",,,,," 231,840 ",0.1%, 226 , 208 ,13.2%,11.4%,,,,,,
"Hinsdale County, CO",,,,, 820 ,0.0%, 366 , 244 ,40.0%,0.0%,,,,,,
"Hitchcock County, NE",,,,," 2,762 ",0.0%, 471 , 434 ,7.6%,4.6%,,,,,,
"Hocking County, OH",,,,," 28,264 ",0.0%, 502 , 315 ,18.7%,16.5%,,,,,,
"Hockley County, TX",,,,," 23,021 ",0.0%, 369 , 769 ,31.9%,43.6%,,,,,,
"Hodgeman County, KS",,,,," 1,794 ",0.0%, 669 ," 1,003 ",20.0%,22.5%,,,,,,
"Hoke County, NC",,,,," 55,234 ",0.0%, 154 , 179 ,12.4%,16.5%,,,,,,
"Holmes County, FL",,,,," 19,617 ",0.0%, 285 , 270 ,11.0%,6.3%,,,,,,
"Holmes County, MS",,,,," 17,010 ",0.0%, 453 , 165 ,16.3%,13.8%,,,,,,
"Holmes County, OH",,,,," 43,960 ",0.0%, 321 , 259 ,22.5%,29.8%,,,,,,
"Holt County, MO",,,,," 4,403 ",0.0%, 681 , 818 ,27.0%,27.5%,,,,,,
"Holt County, NE",,,,," 10,067 ",0.0%, 288 , 427 ,19.9%,27.3%,,,,,,
"Hood County, TX",,,,," 61,643 ",0.0%, 261 , 516 ,15.9%,15.1%,,,,,,
"Hood River County, OR",,,,," 23,382 ",0.0%, 175 , 137 ,10.9%,6.7%,,,,,,
"Hooker County, NE",,,,, 682 ,0.0%, 293 , 733 ,14.3%,35.7%,,,,,,
"Hopkins County, KY",,,,," 44,686 ",0.0%, 380 , 347 ,12.7%,13.3%,,,,,,
"Hopkins County, TX",,,,," 37,084 ",0.0%, 105 , 73 ,12.4%,11.7%,,,,,,
"Horry County, SC",,,,," 354,081 ",0.1%, 166 , 174 ,10.3%,13.1%,,,,,,
"Hot Spring County, AR",,,,," 33,771 ",0.0%, 465 , 489 ,11.8%,16.6%,,,,,,
"Hot Springs County, WY",,,,," 4,413 ",0.0%, 680 , 680 ,10.8%,20.5%,,,,,,
"Houghton County, MI",,,,," 35,684 ",0.0%, 289 , 535 ,4.1%,7.1%,,,,,,
"Houston County, AL",,,,," 105,882 ",0.0%, 184 , 182 ,10.7%,6.9%,,,,,,
"Houston County, GA",,,,," 157,863 ",0.0%, 84 , 102 ,8.3%,10.6%,,,,,,
"Houston County, MN",,,,," 18,600 ",0.0%, 554 , 699 ,13.3%,15.5%,,,,,,
"Houston County, TN",,,,," 8,201 ",0.0%, 280 , 378 ,17.1%,8.8%,,,,,,
"Houston County, TX",,,,," 22,968 ",0.0%, 131 , 74 ,8.8%,17.0%,,,,,,
"Howard County, AR",,,,," 13,202 ",0.0%, 242 , 295 ,6.1%,13.6%,,,,,,
"Howard County, IA",,,,," 9,158 ",0.0%, 688 , 928 ,23.4%,26.1%,,,,,,
"Howard County, IN",,,,," 82,544 ",0.1%, 712 , 522 ,14.0%,12.1%,,,,,,
"Howard County, MO",,,,," 10,001 ",0.0%, 630 , 680 ,33.3%,13.8%,,,,,,
"Howard County, NE",,,,," 6,445 ",0.0%, 528 , 683 ,19.1%,40.9%,,,,,,
"Howard County, TX",,,,," 36,664 ",0.0%, 821 , 696 ,12.8%,9.5%,,,,,,
"Howell County, MO",,,,," 40,117 ",0.0%, 170 , 227 ,19.1%,22.1%,,,,,,
"Hubbard County, MN",,,,," 21,491 ",0.0%," 1,028 ", 693 ,23.7%,24.1%,,,,,,
"Hudson County, NJ",,,,," 672,391 ",0.2%, 322 , 305 ,10.5%,10.9%,,,,,,
"Hudspeth County, TX",,,,," 4,886 ",0.0%," 1,760 ", 614 ,14.1%,24.3%,,,,,,
"Huerfano County, CO",,,,," 6,897 ",0.0%, 493 , 435 ,5.4%,3.4%,,,,,,
"Hughes County, OK",,,,," 13,279 ",0.0%, 203 , 399 ,6.1%,14.7%,,,,,,
"Hughes County, SD",,,,," 17,526 ",0.0%, 725 ," 1,409 ",22.6%,27.2%,,,,,,
"Humacao, PR",,,,," 58,466 ",0.0%, 82 , 86 ,18.8%,11.7%,,,,,,
"Humboldt County, IA",,,,," 9,558 ",0.0%," 1,297 ", 795 ,21.9%,25.0%,,,,,,
